Brand,Product Name,GPU Chip,Released,Bus,Memory,GPU clock,Memory clock,Shaders / TMUs / ROPs
AMD,Radeon 550X,Lexa,"Mar 27th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1082 MHz,1750 MHz,512 / 32 / 16
AMD,Radeon 550X,Lexa,"Mar 27th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1082 MHz,1750 MHz,512 / 32 / 16
AMD,Radeon 610 Mobile,Banks,"May 23rd, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1030 MHz,1125 MHz,320 / 20 / 8
AMD,Radeon 620 Mobile,Polaris 24,"May 13th, 2019",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",730 MHz,900 MHz,384 / 24 / 8
AMD,Radeon 625 Mobile,Polaris 24,"May 13th, 2019",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",730 MHz,900 MHz,384 / 24 / 8
AMD,Radeon 630 Mobile,Polaris 23,"May 13th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1082 MHz,1750 MHz,512 / 32 / 16
AMD,Radeon Picasso,Picasso,2019,IGP,System Shared,300 MHz,System Shared,640 / 40 / 8
AMD,Radeon Picasso Embedded,Picasso,2019,IGP,System Shared,300 MHz,System Shared,192 / 12 / 4
AMD,Radeon Picasso Embedded,Picasso,2019,IGP,System Shared,300 MHz,System Shared,192 / 12 / 4
AMD,Radeon Pro 5300M,Navi 14,"Nov 13th, 2019",PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1000 MHz,1500 MHz,1280 / 80 / 32
AMD,Radeon Pro 5500M,Navi 14,"Nov 13th, 2019",PCIe 4.0 x8,"8 GB, GDDR6, 128 bit",1000 MHz,1500 MHz,1536 / 96 / 32
AMD,Radeon Pro 570X,Polaris 20,"Mar 18th, 2019",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1000 MHz,1700 MHz,1792 / 112 / 32
AMD,Radeon Pro 575X,Polaris 20,"Mar 18th, 2019",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1096 MHz,1700 MHz,2048 / 128 / 32
AMD,Radeon Pro 580X,Polaris 20,"Mar 18th, 2019",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1100 MHz,1695 MHz,2304 / 144 / 32
AMD,Radeon Pro Vega 48,Vega 10,"Mar 19th, 2019",PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1200 MHz,786 MHz,3072 / 192 / 64
AMD,Radeon Pro Vega 64X,Vega 10,"Mar 19th, 2019",PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1250 MHz,1000 MHz,4096 / 256 / 64
AMD,Radeon Pro Vega II,Vega 20,"Jun 3rd, 2019",PCIe 3.0 x16,"32 GB, HBM2, 4096 bit",1574 MHz,806 MHz,4096 / 256 / 64
AMD,Radeon Pro Vega II Duo,Vega 20,Unknown,PCIe 3.0 x16,"32 GB, HBM2, 4096 bit",1400 MHz,1000 MHz,4096 / 256 / 64
AMD,Radeon Pro W5300M,Navi 14,"Nov 13th, 2019",PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1000 MHz,1500 MHz,1280 / 80 / 32
AMD,Radeon Pro W5700,Navi 10,"Nov 19th, 2019",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1243 MHz,1750 MHz,2304 / 144 / 64
AMD,Radeon Pro WX 3200,Polaris 23,"Jul 2nd, 2019",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1295 MHz,1000 MHz,640 / 32 / 16
AMD,Radeon Pro WX 3200 Mobile,Polaris 23,"Jul 2nd, 2019",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1082 MHz,1000 MHz,640 / 32 / 16
AMD,Radeon RX 5300 XT,Navi 14,"Oct 7th, 2019",PCIe 4.0 x8,"4 GB, GDDR5, 128 bit",1670 MHz,1750 MHz,1024 / 64 / 32
AMD,Radeon RX 5300M,Navi 14,"Nov 13th, 2019",PCIe 4.0 x8,"3 GB, GDDR6, 96 bit",1000 MHz,1750 MHz,1408 / 88 / 32
AMD,Radeon RX 540X,Lexa,"Feb 11th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",980 MHz,1750 MHz,512 / 32 / 16
AMD,Radeon RX 5500 OEM,Navi 14,"Oct 7th, 2019",PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1500 MHz,1750 MHz,1408 / 88 / 32
AMD,Radeon RX 5500 XT,Navi 14,"Dec 12th, 2019",PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1607 MHz,1750 MHz,1408 / 88 / 32
AMD,Radeon RX 5500M,Navi 14,"Oct 7th, 2019",PCIe 4.0 x8,"4 GB, GDDR6, 128 bit",1375 MHz,1750 MHz,1408 / 88 / 32
AMD,Radeon RX 560 XT,Ellesmere,"Mar 13th, 2019",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",973 MHz,1650 MHz,1792 / 112 / 32
AMD,Radeon RX 560X Mobile,Polaris 31,"Jan 9th, 2019",PCIe 3.0 x16,"4 GB, GDDR5, 128 bit",1223 MHz,1750 MHz,896 / 56 / 16
AMD,Radeon RX 5700,Navi 10,"Jul 7th, 2019",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1465 MHz,1750 MHz,2304 / 144 / 64
AMD,Radeon RX 5700 XT,Navi 10,"Jul 7th, 2019",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1605 MHz,1750 MHz,2560 / 160 / 64
AMD,Radeon RX 5700 XT 50th Anniversary,Navi 10,"Jul 7th, 2019",PCIe 4.0 x16,"8 GB, GDDR6, 256 bit",1680 MHz,1750 MHz,2560 / 160 / 64
AMD,Radeon RX 640,Polaris 23,"May 13th, 2019",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1082 MHz,1750 MHz,512 / 32 / 16
AMD,Radeon VII,Vega 20,"Feb 7th, 2019",PCIe 3.0 x16,"16 GB, HBM2, 4096 bit",1400 MHz,1000 MHz,3840 / 240 / 64
AMD,Radeon Vega 8 Mobile,Picasso,Unknown,IGP,System Shared,300 MHz,System Shared,512 / 32 / 8
AMD,Radeon 540X,Lexa,"Sep 5th, 2018",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",980 MHz,1750 MHz,512 / 32 / 16
AMD,Radeon 540X Mobile,Polaris 23,"Apr 11th, 2018",PCIe 3.0 x8,"4 GB, GDDR5, 64 bit",1124 MHz,1500 MHz,512 / 32 / 16
AMD,Radeon 550X 640SP,Lexa,"Apr 11th, 2018",PCIe 3.0 x8,"4 GB, GDDR5, 64 bit",1019 MHz,1500 MHz,640 / 40 / 16
AMD,Radeon 550X Mobile,Polaris 23,"Apr 11th, 2018",PCIe 3.0 x8,"4 GB, GDDR5, 64 bit",1100 MHz,1500 MHz,640 / 40 / 16
AMD,Radeon Instinct MI50,Vega 20,"Nov 18th, 2018",PCIe 4.0 x16,"16 GB, HBM2, 4096 bit",1200 MHz,1000 MHz,3840 / 240 / 64
AMD,Radeon Instinct MI60,Vega 20,"Nov 18th, 2018",PCIe 4.0 x16,"32 GB, HBM2, 4096 bit",1200 MHz,1000 MHz,4096 / 256 / 64
AMD,Radeon Pro 555X,Polaris 21,"Jul 16th, 2018",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",907 MHz,1275 MHz,768 / 48 / 16
AMD,Radeon Pro 560X,Polaris 21,"Jul 16th, 2018",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1004 MHz,1270 MHz,1024 / 64 / 16
AMD,Radeon Pro V340,Vega 10,Never Released,PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",852 MHz,1000 MHz,3584 / 224 / 64
AMD,Radeon Pro V340 MxGPU,Vega 10,"Aug 26th, 2018",PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1000 MHz,1000 MHz,3584 / 224 / 64
AMD,Radeon Pro Vega 16,Vega 12,"Nov 14th, 2018",PCIe 3.0 x16,"4 GB, HBM2, 1024 bit",815 MHz,1200 MHz,1024 / 64 / 32
AMD,Radeon Pro Vega 20,Vega 12,"Nov 14th, 2018",PCIe 3.0 x16,"4 GB, HBM2, 1024 bit",815 MHz,740 MHz,1280 / 80 / 32
AMD,Radeon Pro WX 8200,Vega 10,"Aug 13th, 2018",PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1200 MHz,1000 MHz,3584 / 224 / 64
AMD,Radeon Pro WX Vega M GL,Polaris 22,"Apr 24th, 2018",IGP,"4 GB, HBM2, 1024 bit",931 MHz,700 MHz,1280 / 80 / 32
AMD,Radeon RX 540X Mobile,Polaris 23,"Apr 11th, 2018",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1124 MHz,1500 MHz,512 / 32 / 16
AMD,Radeon RX 550X,Lexa,"Dec 16th, 2018",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1100 MHz,1500 MHz,512 / 32 / 16
AMD,Radeon RX 550X 640SP,Baffin,"Apr 11th, 2018",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1019 MHz,1500 MHz,640 / 40 / 16
AMD,Radeon RX 550X Mobile,Polaris 23,"Apr 11th, 2018",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1100 MHz,1500 MHz,640 / 40 / 16
AMD,Radeon RX 560DX,Polaris 21,"Apr 11th, 2018",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1090 MHz,1500 MHz,896 / 56 / 16
AMD,Radeon RX 560X,Polaris 21,"Apr 11th, 2018",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1175 MHz,1750 MHz,1024 / 64 / 16
AMD,Radeon RX 560X Mobile,Polaris 21,"Apr 11th, 2018",MXM-B (3.0),"2 GB, GDDR5, 128 bit",1175 MHz,1500 MHz,1024 / 64 / 16
AMD,Radeon RX 570G,Polaris 20,"Oct 15th, 2018",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1168 MHz,1750 MHz,2048 / 128 / 32
AMD,Radeon RX 570X,Polaris 20,"Apr 11th, 2018",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1168 MHz,1750 MHz,2048 / 128 / 32
AMD,Radeon RX 580 2048SP,Polaris 20,"Oct 15th, 2018",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1168 MHz,1750 MHz,2048 / 128 / 32
AMD,Radeon RX 580G,Polaris 20,"Oct 15th, 2018",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1257 MHz,2000 MHz,2304 / 144 / 32
AMD,Radeon RX 580X,Polaris 20,"Apr 11th, 2018",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1257 MHz,2000 MHz,2304 / 144 / 32
AMD,Radeon RX 580X Mobile,Polaris 20,"Apr 11th, 2018",MXM-B (3.0),"8 GB, GDDR5, 256 bit",1000 MHz,2000 MHz,2304 / 144 / 32
AMD,Radeon RX 590,Polaris 30,"Nov 15th, 2018",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1469 MHz,2000 MHz,2304 / 144 / 32
AMD,Radeon RX Vega 10 Mobile,Raven,"Jan 8th, 2018",IGP,System Shared,300 MHz,System Shared,640 / 40 / 8
AMD,Radeon RX Vega 11,Raven,"Feb 13th, 2018",IGP,System Shared,300 MHz,System Shared,704 / 44 / 8
AMD,Radeon RX Vega 11 Efficient,Raven,"Apr 23rd, 2018",IGP,System Shared,300 MHz,System Shared,704 / 44 / 8
AMD,Radeon RX Vega 11 Mobile,Raven,"May 15th, 2018",IGP,System Shared,300 MHz,System Shared,704 / 44 / 8
AMD,Radeon RX Vega 56 Mobile,Vega 10,"Jun 1st, 2018",PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1138 MHz,800 MHz,3584 / 224 / 64
AMD,Radeon RX Vega M GH,Polaris 22,"Feb 1st, 2018",IGP,"4 GB, HBM2, 1024 bit",1063 MHz,800 MHz,1536 / 96 / 64
AMD,Radeon RX Vega M GL,Polaris 22,"Feb 1st, 2018",IGP,"4 GB, HBM2, 1024 bit",931 MHz,700 MHz,1280 / 80 / 32
AMD,Radeon RX Vega Nano,Vega 10,Never Released,PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1200 MHz,800 MHz,4096 / 256 / 64
AMD,Radeon Vega 11 Embedded,Raven,"Feb 13th, 2018",IGP,System Shared,300 MHz,System Shared,704 / 44 / 8
AMD,Radeon Vega 3 Efficient,Raven,"May 26th, 2018",IGP,System Shared,300 MHz,System Shared,192 / 12 / 4
AMD,Radeon Vega 3 Embedded,Raven,"Feb 13th, 2018",IGP,System Shared,300 MHz,System Shared,192 / 12 / 4
AMD,Radeon Vega 3 Mobile,Raven 2,"Feb 1st, 2018",IGP,System Shared,300 MHz,System Shared,192 / 12 / 4
AMD,Radeon Vega 3 Mobile,Raven,"Feb 1st, 2018",IGP,System Shared,300 MHz,System Shared,192 / 12 / 4
AMD,Radeon Vega 6 Mobile,Raven,"Jan 8th, 2018",IGP,System Shared,300 MHz,System Shared,384 / 24 / 8
AMD,Radeon Vega 6 Mobile,Raven,"Feb 1st, 2018",IGP,System Shared,300 MHz,System Shared,384 / 24 / 8
AMD,Radeon Vega 6 Mobile Efficient,Raven,"Apr 23rd, 2018",IGP,System Shared,300 MHz,System Shared,384 / 24 / 8
AMD,Radeon Vega 8,Raven,"Feb 13th, 2018",IGP,System Shared,300 MHz,System Shared,512 / 32 / 8
AMD,Radeon Vega 8 Efficient,Raven,"Apr 23rd, 2018",IGP,System Shared,300 MHz,System Shared,512 / 32 / 8
AMD,Radeon Vega 8 Embedded,Raven,"Feb 13th, 2018",IGP,System Shared,300 MHz,System Shared,512 / 32 / 8
AMD,Radeon Vega 8 Mobile,Raven,"Jan 8th, 2018",IGP,System Shared,300 MHz,System Shared,512 / 32 / 8
AMD,Zhongshan Subor Z+,Fenghuang,"Aug 3rd, 2018",IGP,"8 GB, GDDR5, 256 bit",1300 MHz,1200 MHz,1536 / 96 / 32
AMD,Radeon 520 Mobile,Banks,"Apr 18th, 2017",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",1030 MHz,1000 MHz,320 / 20 / 8
AMD,Radeon 520 Mobile,Banks,"Apr 18th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1030 MHz,1125 MHz,320 / 20 / 8
AMD,Radeon 530 Mobile,Weston,"Apr 18th, 2017",PCIe 3.0 x8,"2 GB, DDR3, 64 bit",730 MHz,900 MHz,384 / 24 / 8
AMD,Radeon 530X Mobile,Polaris 24,"Apr 18th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",730 MHz,1125 MHz,384 / 24 / 8
AMD,Radeon 535 Mobile,Polaris 24,"Apr 18th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",730 MHz,1125 MHz,384 / 24 / 8
AMD,Radeon 550,Lexa,"Apr 20th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1100 MHz,1750 MHz,512 / 32 / 16
AMD,Radeon E9171 MCM,Lexa,"Oct 3rd, 2017",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1124 MHz,1500 MHz,512 / 32 / 16
AMD,Radeon E9172 MXM,Lexa,"Oct 3rd, 2017",MXM-A (3.0),"2 GB, GDDR5, 64 bit",1124 MHz,1500 MHz,512 / 32 / 16
AMD,Radeon E9173 PCIe,Lexa,"Oct 3rd, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",1124 MHz,1500 MHz,512 / 32 / 16
AMD,Radeon E9174 MXM,Lexa,"Oct 3rd, 2017",MXM-A (3.0),"4 GB, GDDR5, 128 bit",1124 MHz,1500 MHz,512 / 32 / 16
AMD,Radeon E9175 PCIe,Lexa,"Oct 3rd, 2017",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1124 MHz,1500 MHz,512 / 32 / 16
AMD,Radeon Instinct MI25,Vega 10,"Jun 27th, 2017",PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1400 MHz,852 MHz,4096 / 256 / 64
AMD,Radeon Instinct MI25 MxGPU,Vega 10,"Jun 27th, 2017",PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1400 MHz,852 MHz,4096 / 256 / 64
AMD,Radeon Pro 555,Polaris 21,"Jun 5th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",850 MHz,1275 MHz,768 / 48 / 16
AMD,Radeon Pro 560,Polaris 21,"Apr 18th, 2017",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",907 MHz,1270 MHz,1024 / 64 / 16
AMD,Radeon Pro 570,Polaris 20,"Jun 5th, 2017",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1000 MHz,1695 MHz,1792 / 112 / 32
AMD,Radeon Pro 575,Polaris 20,"Jun 5th, 2017",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1096 MHz,1695 MHz,2048 / 128 / 32
AMD,Radeon Pro 580,Polaris 20,"Jun 5th, 2017",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1100 MHz,1695 MHz,2304 / 144 / 32
AMD,Radeon Pro Duo Polaris,Ellesmere,"Apr 24th, 2017",PCIe 3.0 x16,"16 GB, GDDR5, 256 bit",1243 MHz,1750 MHz,2304 / 144 / 32
AMD,Radeon Pro SSG,Vega 10,"Aug 8th, 2017",PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1440 MHz,945 MHz,4096 / 256 / 64
AMD,Radeon Pro V320,Vega 10,"Jun 29th, 2017",PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",852 MHz,945 MHz,4096 / 256 / 64
AMD,Radeon Pro V320 MxGPU,Vega 10,"Jun 29th, 2017",PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",852 MHz,945 MHz,3584 / 224 / 64
AMD,Radeon Pro Vega 56,Vega 10,"Aug 14th, 2017",PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1138 MHz,786 MHz,3584 / 224 / 64
AMD,Radeon Pro Vega 64,Vega 10,"Jun 27th, 2017",PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1250 MHz,786 MHz,4096 / 256 / 64
AMD,Radeon Pro WX 2100,Lexa,"Jun 4th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 64 bit",925 MHz,1500 MHz,512 / 32 / 16
AMD,Radeon Pro WX 3100,Lexa,"Jun 12th, 2017",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",925 MHz,1500 MHz,512 / 32 / 16
AMD,Radeon Pro WX 4130 Mobile,Baffin,"Mar 1st, 2017",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1002 MHz,1500 MHz,640 / 40 / 16
AMD,Radeon Pro WX 4150 Mobile,Baffin,"Mar 1st, 2017",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1002 MHz,1500 MHz,896 / 56 / 16
AMD,Radeon Pro WX 4170 Mobile,Baffin,"Mar 1st, 2017",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1002 MHz,1750 MHz,1024 / 64 / 16
AMD,Radeon Pro WX 7100 Mobile,Ellesmere,"Mar 1st, 2017",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1188 MHz,1250 MHz,2304 / 144 / 32
AMD,Radeon Pro WX 7130 Mobile,Ellesmere,"Mar 1st, 2017",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1188 MHz,1250 MHz,2304 / 144 / 32
AMD,Radeon Pro WX 8100,Vega 10,"Dec 3rd, 2017",PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1200 MHz,1000 MHz,3584 / 224 / 64
AMD,Radeon Pro WX 9100,Vega 10,"Jul 10th, 2017",PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1200 MHz,945 MHz,4096 / 256 / 64
AMD,Radeon R5 Graphics,Wani,"Sep 5th, 2017",IGP,System Shared,200 MHz,System Shared,384 / 24 / 8
AMD,Radeon R8 M535DX,Meso,"Apr 18th, 2017",IGP,System Shared,780 MHz,System Shared,320 / 20 / 8
AMD,Radeon RX 460 1024SP,Baffin,"Jan 17th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1090 MHz,1750 MHz,1024 / 64 / 16
AMD,Radeon RX 540 Mobile,Lexa,"Nov 11th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1124 MHz,1500 MHz,512 / 32 / 16
AMD,Radeon RX 550,Lexa,"Apr 20th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1100 MHz,1750 MHz,512 / 32 / 16
AMD,Radeon RX 550 640SP,Baffin,"Oct 13th, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1019 MHz,1500 MHz,640 / 40 / 16
AMD,Radeon RX 550 Mobile,Lexa,"Jul 2nd, 2017",PCIe 3.0 x8,"2 GB, GDDR5, 128 bit",1100 MHz,1500 MHz,640 / 40 / 16
AMD,Radeon RX 560,Polaris 21,"Apr 18th, 2017",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1175 MHz,1750 MHz,1024 / 64 / 16
AMD,Radeon RX 560 896SP,Polaris 21,"Jul 4th, 2017",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1090 MHz,1750 MHz,896 / 56 / 16
AMD,Radeon RX 560D,Polaris 21,"Jul 4th, 2017",PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1090 MHz,1500 MHz,896 / 56 / 16
AMD,Radeon RX 570,Polaris 20,"Apr 18th, 2017",PCIe 3.0 x16,"4 GB, GDDR5, 256 bit",1168 MHz,1750 MHz,2048 / 128 / 32
AMD,Radeon RX 570 Mobile,Ellesmere,"Dec 10th, 2017",MXM-B (3.0),"8 GB, GDDR5, 256 bit",926 MHz,1650 MHz,2048 / 128 / 32
AMD,Radeon RX 580,Polaris 20,"Apr 18th, 2017",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1257 MHz,2000 MHz,2304 / 144 / 32
AMD,Radeon RX 580 Mobile,Polaris 20,"Apr 18th, 2017",MXM-B (3.0),"8 GB, GDDR5, 256 bit",1000 MHz,2000 MHz,2304 / 144 / 32
AMD,Radeon RX Vega 10 Mobile,Raven,"Oct 26th, 2017",IGP,System Shared,300 MHz,System Shared,640 / 40 / 8
AMD,Radeon RX Vega 56,Vega 10,"Aug 14th, 2017",PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1156 MHz,800 MHz,3584 / 224 / 64
AMD,Radeon RX Vega 64,Vega 10,"Aug 7th, 2017",PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1247 MHz,945 MHz,4096 / 256 / 64
AMD,Radeon RX Vega 64 Limited Edition,Vega 10,"Aug 7th, 2017",PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1200 MHz,945 MHz,4096 / 256 / 64
AMD,Radeon RX Vega 64 Liquid Cooling,Vega 10,"Aug 7th, 2017",PCIe 3.0 x16,"8 GB, HBM2, 2048 bit",1408 MHz,945 MHz,4096 / 256 / 64
AMD,Radeon Vega 8 Mobile,Raven,"Nov 24th, 2017",IGP,System Shared,300 MHz,System Shared,512 / 32 / 8
AMD,Radeon Vega Frontier Edition,Vega 10,"Jun 27th, 2017",PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1382 MHz,945 MHz,4096 / 256 / 64
AMD,Radeon Vega Frontier Edition Watercooled,Vega 10,"Jul 13th, 2017",PCIe 3.0 x16,"16 GB, HBM2, 2048 bit",1382 MHz,945 MHz,4096 / 256 / 64
AMD,Xbox One X GPU,Scorpio,"Nov 7th, 2017",IGP,"12 GB, GDDR5, 384 bit",1172 MHz,1700 MHz,2560 / 160 / 32
AMD,FirePro S7150,Tonga,"Feb 1st, 2016",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",920 MHz,1250 MHz,2048 / 128 / 32
AMD,FirePro S7150 x2,Tonga,"Feb 1st, 2016",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1050 MHz,1250 MHz,1792 / 112 / 32
AMD,FirePro S9300 X2,Capsaicin,"Mar 31st, 2016",PCIe 3.0 x16,"4 GB, HBM, 4096 bit",850 MHz,500 MHz,4096 / 256 / 64
AMD,Radeon Instinct MI6,Ellesmere,"Dec 12th, 2016",PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1120 MHz,1750 MHz,2304 / 144 / 32
AMD,Radeon Instinct MI8,Fiji,"Dec 12th, 2016",PCIe 3.0 x16,"4 GB, HBM, 4096 bit",1000 MHz,500 MHz,4096 / 256 / 64
AMD,Radeon Pro Duo,Capsaicin,"Apr 26th, 2016",PCIe 3.0 x16,"4 GB, HBM, 4096 bit",1000 MHz,500 MHz,4096 / 256 / 64
AMD,Radeon Pro V5300X,Baffin,Never Released,PCIe 3.0 x8,"4 GB, GDDR5, 128 bit",1125 MHz,1500 MHz,1024 / 64 / 16
AMD,Radeon Pro V7300X,Ellesmere,Never Released,PCIe 3.0 x16,"8 GB, GDDR5, 256 bit",1188 MHz,1750 MHz,2304 / 144 / 32
